year,season,mean_temp
1939,summer,15.7115
1939,winter,12.5188
1940,fall,14.323
1940,spring,14.304
1940,summer,15.9219
1940,winter,12.8973
1941,fall,14.2727
1941,spring,13.9939
1941,summer,15.6371
1941,winter,12.5162
1942,fall,14.4716
1942,spring,14.2036
1942,summer,15.865
1942,winter,12.658
1943,fall,14.3616
1943,spring,14.1438
1943,summer,15.806
1943,winter,12.5421
1944,fall,14.2438
1944,spring,14.1167
1944,summer,15.7137
1944,winter,12.6229
1945,fall,14.4407
1945,spring,14.0026
1945,summer,15.8868
1945,winter,12.4656
1946,fall,14.2988
1946,spring,14.3873
1946,summer,15.8625
1946,winter,12.8213
1947,fall,14.0433
1947,spring,14.0566
1947,summer,15.6423
1947,winter,12.4919
1948,fall,13.9611
1948,spring,13.7433
1948,summer,15.5006
1948,winter,12.1999
1949,fall,14.2617
1949,spring,14.1644
1949,summer,15.7427
1949,winter,12.4194
1950,fall,14.2032
1950,spring,14.0321
1950,summer,15.7599
1950,winter,12.5315
1951,fall,14.3893
1951,spring,14.1696
1951,summer,15.7117
1951,winter,12.3686
1952,fall,14.4106
1952,spring,14.166
1952,summer,15.7797
1952,winter,12.8347
1953,fall,14.3426
1953,spring,14.3586
1953,summer,15.912
1953,winter,12.7115
1954,fall,14.3082
1954,spring,13.9256
1954,summer,15.6127
1954,winter,12.3166
1955,fall,14.3606
1955,spring,14.3578
1955,summer,15.8818
1955,winter,12.6746
1956,fall,14.3357
1956,spring,14.0932
1956,summer,15.692
1956,winter,12.5738
1957,fall,14.201
1957,spring,13.8953
1957,summer,15.5919
1957,winter,12.4582
1958,fall,14.49
1958,spring,14.1632
1958,summer,15.7799
1958,winter,12.5214
1959,fall,14.3445
1959,spring,14.399
1959,summer,15.9382
1959,winter,12.9461
1960,fall,14.3218
1960,spring,13.9087
1960,summer,15.6407
1960,winter,12.6544
1961,fall,14.2747
1961,spring,13.9699
1961,summer,15.6606
1961,winter,12.4981
1962,fall,14.3571
1962,spring,14.0514
1962,summer,15.7346
1962,winter,12.3111
1963,fall,14.2032
1963,spring,13.9882
1963,summer,15.5981
1963,winter,12.5168
1964,fall,14.3794
1964,spring,14.0552
1964,summer,15.7126
1964,winter,12.5034
1965,fall,14.1681
1965,spring,14.1218
1965,summer,15.5497
1965,winter,12.5209
1966,fall,14.0478
1966,spring,13.9797
1966,summer,15.3965
1966,winter,12.5296
1967,fall,14.2045
1967,spring,13.91
1967,summer,15.5714
1967,winter,12.3488
1968,fall,13.9671
1968,spring,14.0468
1968,summer,15.4192
1968,winter,12.449
1969,fall,14.113
1969,spring,13.8478
1969,summer,15.6416
1969,winter,12.3828
1970,fall,14.3002
1970,spring,14.1063
1970,summer,15.6782
1970,winter,12.4602
1971,fall,14.5434
1971,spring,14.383
1971,summer,15.8658
1971,winter,12.9259
1972,fall,14.2086
1972,spring,14.1895
1972,summer,15.7216
1972,winter,12.8841
1973,fall,14.2123
1973,spring,14.0117
1973,summer,15.6296
1973,winter,12.4304
1974,fall,14.3466
1974,spring,14.1258
1974,summer,15.693
1974,winter,12.5906
1975,fall,14.2471
1975,spring,14.0941
1975,summer,15.5523
1975,winter,12.6525
1976,fall,14.402
1976,spring,14.2147
1976,summer,15.8082
1976,winter,12.5862
1977,fall,14.4077
1977,spring,14.3472
1977,summer,15.8299
1977,winter,12.6742
1978,fall,14.3281
1978,spring,14.1273
1978,summer,15.6016
1978,winter,12.605
1979,fall,14.4879
1979,spring,14.3392
1979,summer,15.8562
1979,winter,12.7123
1980,fall,14.3437
1980,spring,14.3172
1980,summer,15.7156
1980,winter,12.7383
1981,fall,14.4452
1981,spring,14.281
1981,summer,15.8281
1981,winter,12.7085
1982,fall,14.3866
1982,spring,14.3193
1982,summer,15.8114
1982,winter,12.7617
1983,fall,14.2569
1983,spring,14.3347
1983,summer,15.8186
1983,winter,12.7972
1984,fall,14.4236
1984,spring,14.3104
1984,summer,15.895
1984,winter,12.7693
1985,fall,14.3993
1985,spring,14.3113
1985,summer,15.8971
1985,winter,12.834
1986,fall,14.6364
1986,spring,14.2557
1986,summer,15.8295
1986,winter,12.6813
1987,fall,14.7215
1987,spring,14.3461
1987,summer,16.1185
1987,winter,12.8818
1988,fall,14.5061
1988,spring,14.4872
1988,summer,16.0796
1988,winter,13.0931
1989,fall,14.6309
1989,spring,14.4789
1989,summer,16.0009
1989,winter,12.8127
1990,fall,14.7127
1990,spring,14.4436
1990,summer,16.0335
1990,winter,13.0171
1991,fall,14.5413
1991,spring,14.7497
1991,summer,16.1759
1991,winter,13.2508
1992,fall,14.3785
1992,spring,14.1751
1992,summer,15.7786
1992,winter,12.6867
1993,fall,14.8057
1993,spring,14.4204
1993,summer,16.0041
1993,winter,12.6472
1994,fall,14.4228
1994,spring,14.3977
1994,summer,15.977
1994,winter,13.1284
1995,fall,14.4845
1995,spring,14.2613
1995,summer,15.9397
1995,winter,12.6977
1996,fall,14.7128
1996,spring,14.3177
1996,summer,16.034
1996,winter,12.7566
1997,fall,14.8897
1997,spring,14.5185
1997,summer,16.2949
1997,winter,13.1547
1998,fall,14.5557
1998,spring,14.6992
1998,summer,16.2036
1998,winter,13.1408
1999,fall,14.7523
1999,spring,14.5368
1999,summer,16.1691
1999,winter,12.8617
2000,fall,14.9463
2000,spring,14.6041
2000,summer,16.3535
2000,winter,12.9971
2001,fall,14.9962
2001,spring,14.7947
2001,summer,16.4859
2001,winter,13.1828
2002,fall,15.0063
2002,spring,14.9718
2002,summer,16.5118
2002,winter,13.3196
2003,fall,15.0223
2003,spring,14.826
2003,summer,16.4132
2003,winter,13.3242
2004,fall,14.9586
2004,spring,14.8423
2004,summer,16.3941
2004,winter,13.3851
2005,fall,14.9967
2005,spring,14.766
2005,summer,16.4577
2005,winter,13.3155
2006,fall,15.2726
2006,spring,14.8543
2006,summer,16.5353
2006,winter,13.252
2007,fall,15.1574
2007,spring,15.081
2007,summer,16.6981
2007,winter,13.6227
2008,fall,15.0368
2008,spring,14.8093
2008,summer,16.4259
2008,winter,13.372
2009,fall,15.1484
2009,spring,14.6638
2009,summer,16.4484
2009,winter,13.178
2010,fall,15.079
2010,spring,14.8681
2010,summer,16.4899
2010,winter,13.4581
2011,fall,15.3217
2011,spring,14.8808
2011,summer,16.5483
2011,winter,13.3754
2012,fall,15.3889
