year,country,mean_temp
1928,Somaliland,25.8155736613179
1929,Somaliland,26.28452876149555
1930,Somaliland,26.22899326946191
1931,Somaliland,25.291502972727415
1932,Somaliland,26.01496196216584
1933,Somaliland,26.118984187076194
1934,Somaliland,25.773071533983796
1935,Somaliland,26.363657570258
1936,Somaliland,26.042188920963667
1937,Somaliland,25.32176388460789
1938,Somaliland,25.717513504615226
1939,Somaliland,25.40785348568727
1940,Somaliland,25.768914157936592
1941,Somaliland,25.514473441373752
1942,Somaliland,25.506834975966513
1943,Somaliland,25.87372763986633
1944,Somaliland,26.23691618730743
1945,Somaliland,25.585934668658922
1946,Somaliland,26.16915467764784
1947,Somaliland,25.108629016590612
1948,Somaliland,24.599843977636908
1949,Somaliland,25.54965522623172
1950,Somaliland,25.992078624967462
1951,Somaliland,25.169869203086762
1952,Somaliland,25.910298298022155
1953,Somaliland,26.18074287965817
1954,Somaliland,25.419934213873546
1955,Somaliland,25.734917264612136
1956,Somaliland,25.961999283010982
1957,Somaliland,25.893401698016532
1958,Somaliland,25.89981410626126
1959,Somaliland,26.17269525303948
1960,Somaliland,25.694000502385506
1961,Somaliland,25.363018113662463
1962,Somaliland,25.502582996569345
1963,Somaliland,25.582869683001718
1964,Somaliland,25.752545063310322
1965,Somaliland,25.81159174821073
1966,Somaliland,25.41179605251739
1967,Somaliland,25.899144266628696
1968,Somaliland,25.776256397359703
1969,Somaliland,25.50766475249611
1970,Somaliland,25.662511691130987
1971,Somaliland,25.49117796481164
1972,Somaliland,26.35334283984662
1973,Somaliland,25.236009532423452
1974,Somaliland,25.335227235946263
1975,Somaliland,25.36888069153946
1976,Somaliland,25.945998094289564
1977,Somaliland,26.13958330868769
1978,Somaliland,25.42532648170851
1979,Somaliland,26.15745263362885
1980,Somaliland,25.730641303091204
1981,Somaliland,25.733441959522622
1982,Somaliland,25.475735983530683
1983,Somaliland,26.493910116952634
1984,Somaliland,25.759628502021826
1985,Somaliland,26.524448323791887
1986,Somaliland,26.15585459557218
1987,Somaliland,25.962701143776542
1988,Somaliland,26.4526612770278
1989,Somaliland,26.054817742845103
1990,Somaliland,26.153007643582782
1991,Somaliland,26.929387839699416
1992,Somaliland,25.41539681556378
1993,Somaliland,26.022982895999803
1994,Somaliland,25.8401997457035
1995,Somaliland,25.19866404831049
1996,Somaliland,25.964765023652205
1997,Somaliland,26.25245709799725
1998,Somaliland,26.375267849235797
1999,Somaliland,26.067799522898497
2000,Somaliland,26.294532874641163
2001,Somaliland,26.793863104208413
2002,Somaliland,26.828991956774587
2003,Somaliland,26.420636781276812
2004,Somaliland,26.735419978520042
2005,Somaliland,26.271920210042367
2006,Somaliland,26.32207376508046
2007,Somaliland,26.50833966833858
2008,Somaliland,26.008981781083264
2009,Somaliland,26.262703543452005
2010,Somaliland,26.848135867195708
2011,Somaliland,26.535321605649187
2012,Somaliland,27.520293329354217
2013,Somaliland,26.87352270442483
2014,Somaliland,26.000623854529408
1850,South Africa,17.956099712504056
1851,South Africa,17.602922986837143
1852,South Africa,16.953588599281147
1853,South Africa,17.23276468685168
1854,South Africa,17.52943063575168
1855,South Africa,16.934804971286496
1856,South Africa,17.033855800425044
1857,South Africa,17.178868660803914
1858,South Africa,16.780942656264983
1859,South Africa,17.82196954282182
1860,South Africa,17.28248966106264
1861,South Africa,16.914798546575526
1862,South Africa,16.807257278513134
1863,South Africa,18.374013890406786
1864,South Africa,17.545128002719423
1865,South Africa,17.27948818367372
1866,South Africa,17.310066939483647
1867,South Africa,17.477031260025626
1868,South Africa,17.696405982123906
1869,South Africa,17.07922670742039
1870,South Africa,16.893134629727626
1871,South Africa,17.071264020663364
1872,South Africa,18.01805192037881
1873,South Africa,17.582180257202822
1874,South Africa,16.83151631453626
1875,South Africa,17.212109139269387
1876,South Africa,17.565825455846948
1877,South Africa,17.222263513280836
1878,South Africa,17.367941768362357
1879,South Africa,17.319091174690698
1880,South Africa,18.340912805743073
