year,season,country,mean_temp
1951,summer,United States of America,22.2069
1951,winter,United States of America,-1.1506
1952,fall,United States of America,13.0705
1952,spring,United States of America,9.2123
1952,summer,United States of America,21.5982
1952,winter,United States of America,-1.3764
1953,fall,United States of America,12.0306
1953,spring,United States of America,10.5783
1953,summer,United States of America,22.4003
1953,winter,United States of America,-1.3508
1954,fall,United States of America,12.1867
1954,spring,United States of America,9.2775
1954,summer,United States of America,21.7072
1954,winter,United States of America,-1.4633
1955,fall,United States of America,12.1329
1955,spring,United States of America,9.72
1955,summer,United States of America,21.9266
1955,winter,United States of America,-0.7019
1956,fall,United States of America,11.1717
1956,spring,United States of America,10.1921
1956,summer,United States of America,21.2089
1956,winter,United States of America,-2.666
1957,fall,United States of America,12.1176
1957,spring,United States of America,8.7582
1957,summer,United States of America,21.1684
1957,winter,United States of America,-2.9272
1958,fall,United States of America,11.851
1958,spring,United States of America,9.6409
1958,summer,United States of America,22.2317
1958,winter,United States of America,-0.8225
1959,fall,United States of America,12.0432
1959,spring,United States of America,9.7557
1959,summer,United States of America,21.556
1959,winter,United States of America,-3.8607
1960,fall,United States of America,11.4967
1960,spring,United States of America,9.8993
1960,summer,United States of America,21.878
1960,winter,United States of America,-1.4023
1961,fall,United States of America,11.8145
1961,spring,United States of America,7.377
1961,summer,United States of America,21.5815
1961,winter,United States of America,-2.5722
1962,fall,United States of America,12.9584
1962,spring,United States of America,8.997
1962,summer,United States of America,21.2377
1962,winter,United States of America,-1.7434
1963,fall,United States of America,12.1313
1963,spring,United States of America,8.3188
1963,summer,United States of America,21.8801
1963,winter,United States of America,-1.8425
1964,fall,United States of America,12.0155
1964,spring,United States of America,10.381
1964,summer,United States of America,21.5585
1964,winter,United States of America,-0.8214
1965,fall,United States of America,12.1965
1965,spring,United States of America,8.6229
1965,summer,United States of America,21.1394
1965,winter,United States of America,-2.7119
1966,fall,United States of America,12.4047
1966,spring,United States of America,9.8264
1966,summer,United States of America,21.8978
1966,winter,United States of America,-1.562
1967,fall,United States of America,10.5627
1967,spring,United States of America,9.0128
1967,summer,United States of America,21.514
1967,winter,United States of America,-1.3119
1968,fall,United States of America,11.403
1968,spring,United States of America,8.535
1968,summer,United States of America,21.7373
1968,winter,United States of America,-3.1005
1969,fall,United States of America,11.6593
1969,spring,United States of America,7.9984
1969,summer,United States of America,21.5232
1969,winter,United States of America,-0.5264
1970,fall,United States of America,12.296
1970,spring,United States of America,8.2291
1970,summer,United States of America,21.3784
1970,winter,United States of America,-2.6284
1971,fall,United States of America,11.4534
1971,spring,United States of America,10.0243
1971,summer,United States of America,21.8396
1971,winter,United States of America,-0.945
1972,fall,United States of America,11.7913
